subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Property ownership and land use controls and regulations,Private restrictions on the use of land are best created by:,verbal agreement.,ratification.,constructing a physical barrier around the property.,"recording the restrictions with the county recorder, with reference made in the deed to each parcel.",d,"d - Of the answer choices provided, the best way to create a private restriction on the use of land is by recording the restrictions with the county recorder. However, a private restriction may also be created through a developer’s restrictions for a subdivision or through a written agreement."
Property ownership and land use controls and regulations,“Potable” means:,drinkable water.,sewer systems.,backfill.,plumbing metal.,a,a - Potable water is suitable for drinking.
Property ownership and land use controls and regulations,Placing two or more contiguous units under common ownership for the purpose of increasing the value is known as:,dual ownership.,severalty ownership.,plottage.,reversion.,c,c - The act of combining parcels of real estate is referred to as assemblage. The increase of value is referred to as plottage.
Property ownership and land use controls and regulations,Which of the following is shown on a plot map?,Thickness of exterior walls.,Topography of the surrounding area.,Location of the improvement on the lot and its relationship to surrounding features.,Foundation features and construction materials.,c,"c - Beware of the incorrect answer B. Topography, referencing the lay of the land. Topography is not included on a plot map."
Property ownership and land use controls and regulations,Personal property may not:,become real property.,be hypothecated.,be alienated.,None of the above.,d,"d - Beware of question construction phrased in the negative, “may not.” Here, you need to identify the answer selection that does not correctly complete the question. As personal property may undergo any of the activities referenced in all of the answer selections, None of the above is correct."
Property ownership and land use controls and regulations,The physical components of a subdivision are controlled by the:,Department of Real,city or county planning commission.,Department of Architecture. Estate (DRE).,Division of State Lands.,b,b - The Subdivision Map Act controls the physical elements of a subdivision which is overseen by local governments.
Property ownership and land use controls and regulations,"Mary held a life estate for her lifetime in a single family residence. She leased the residence to Martha for a five-year period, but died a few weeks after the lease began. The lease was:","invalid on its face, because the holder of a life estate does not have the right to lease the property.",continued in effect for the full five-year term.,valid only during the life of the lessor (Mary).,valid only if Martha was unaware of the life estate when the lease was created.,c,"c - When a life estate ends, the ownership of the real estate transfers and therefore existing contracts also end."
Property ownership and land use controls and regulations,What notice is filed first in regards to a mechanic’s lien?,Notice of Nonresponsibility.,Notice of Cessation.,Notice of Completion.,Notice to Perform or Quit.,a,"a - An owner may prevent the attachment of a mechanic’s lien by recording and posting a Notice of Nonresponsibility within ten days after they become aware of tenant-contracted improvements. 32 Unlocking the DRE Salesperson and Broker Exam, Fourth Edition"
Property ownership and land use controls and regulations,A subcontractor uses a __________ to notify a general contractor or the owner of their right to record and foreclose a mechanic’s lien against property when they are not paid.,Notice of Default,Right of First Refusal,20-day preliminary notice,30-day Notice to Vacate,c,"c - Before a subcontractor employed by a contractor may record a mechanic’s lien against real estate and enforce it by foreclosure, they perfect their lien rights by serving a 20-day preliminary notice."
Property ownership and land use controls and regulations,Which of the following is not a specific lien?,A property tax lien.,A blanket mortgage.,A judgment for punitive money damages.,A mechanic’s lien.,c,c - A judgment for punitive money damages is filed against an individual rather than a specific property.
Property ownership and land use controls and regulations,Which of the following is a lien?,A recorded notice.,A homestead.,An easement.,An attachment.,d,"d - A lien always has a dollar value. Therefore, the only correct answer is the attachment."
Property ownership and land use controls and regulations,"If a lien covers all properties of the debtor in that county where it is recorded, it is known as a:",lis pendens.,specific lien.,general lien.,mechanic’s lien.,c,"c - As the lien attaches to multiple properties owned by the debtor, versus a specific property, it is referred to as a general lien."
Property ownership and land use controls and regulations,"To establish title by adverse possession, an occupant must show all these except:",they have occupied the property in a way which constitutes no notice to the record owner.,the payment of taxes for five years.,open and notorious use.,hostile use.,a,a - This question is phrased in the negative. All other answer choices are conditions that need to be met to establish title by adverse possession. Tip: the answer choices in this question may provide the answer for later exam questions on this topic.
Property ownership and land use controls and regulations,Appurtenances go with the land. Which of the following is not an appurtenance?,Buildings.,A swimming pool.,Fences.,A trade fixture.,d,d - This is another question phrased in the negative. Trade fixtures are personal property and do not go with the land.
Property ownership and land use controls and regulations,Ownership rights and interests in real estate are called:,land sales contracts.,estates or fees.,liens.,tenancies.,b,b - Ownership might be a fee title or a life estate. Both are examples of a freehold estate.
Property ownership and land use controls and regulations,Which of the following is an example of a freehold estate?,Beneficiary interest.,An estate at sufferance.,A life estate.,An estate at will.,c,c - A life estate is an example of a freehold estate.
Property ownership and land use controls and regulations,"All of the following are less-than-freehold estates, except:",An estate for years.,Leasehold interest.,A life estate.,An estate at sufferance.,c,c - Freehold is ownership. Less-than-freehold is a leasehold.
Property ownership and land use controls and regulations,Which of the following best describes an estate of indefinite duration?,Estate for years.,Life estate.,Periodic tenancy.,Estate of inheritance.,d,"d - An estate of inheritance is a fee title. Therefore, it lasts in perpetuity - an indefinite time."
Property ownership and land use controls and regulations,In what way is a tenant in an apartment like an owner of a condominium?,Both hold a fee interest.,The owner of the condominium and the tenant of the apartment each have an estate in real property.,The local tax assessor needs to assess each property separately.,Both have ownership of an individual unit.,b,b - The question asks for what the owner and a tenant have in common. Both interests held by an owner and tenant are described as an estate.
Property ownership and land use controls and regulations,The word “tenancy” in real property law most nearly means:,life tenant.,the method or mode of holding interest to real property by the lessee or owner.,the landlord-tenant relationship.,the right to freely sell a property to another in the open market.,b,"b - As with the term “estate,” both the owner’s position as well as the lessee’s may be described as a “tenancy.”"
Property ownership and land use controls and regulations,Appurtenant rights include the right of ingress and ___________ across adjoining properties.,trespass,traversal,egress,pro rata,c,"c - Access rights include both egress and ingress (entering and exiting), such as with a driveway easement."
Property ownership and land use controls and regulations,Easements which restrict an owner’s ability to maintain or construct improvements interfering with a neighbor’s solar energy system are known as easements.,airborne,solar,galactic,greenway,b,b - Solar panels are generally located on the roof of a structure. A solar easement prohibits the blocking of those panels from exposure to the sun.
Property ownership and land use controls and regulations,"The Real Estate Commissioner, under the Subdivided Lands Law, is initially concerned with which court:",Small Claims.,Superior.,Federal Supreme.,State Appeals.,b,"b - The Subdivided Lands Law is controlled by the California Bureau of Real Estate. Since this is a state entity, the process of elimination excludes the Small Claims, Federal Supreme and Appellate courts, leaving the Superior Court as initially handling real estate disputes."
Property ownership and land use controls and regulations,An encroachment is:,a fence built on an owner’s property for security and privacy purposes.,"an improvement on real estate, such as a building, fence, driveway or tree, which extends onto a neighbor’s real estate.",a doctrine used by property owners to establish boundary lines.,an exclusive right-to-use easement.,b,b - Encroachment is an example of trespass.
Property ownership and land use controls and regulations,"Upon moving into the home they had just purchased, the owner discovered their neighbor’s garage encroached four feet over his property line. lf a friendly settlement cannot be negotiated, the owner may sue the:",escrow company.,title company.,"agent, for failure to disclose the encroachment.","neighbor, since the encroachment is a trespass.",d,d - The neighbor is the one who is trespassing and is the party the owner may sue.
Property ownership and land use controls and regulations,Lead-based paint was banned by the Federal Consumer Product Safety Commission in:,1940,1973,1978,1996,c,"c - Under federal law, a lead-based paint disclosure is required on all single family residential property built prior to 1978."
Property ownership and land use controls and regulations,Environmental hazards located on a property which pose a direct health threat to occupants include toxic mold and:,building materials containing asbestos.,recent seismic activity.,carbon dioxide gas.,very high fire hazard severity zones.,a,a - Building materials containing asbestos pose a direct health threat to occupants. Seismic activity and very high fire hazard severity zones are natural hazards occurring off of a property and are not man-made environmental hazards. Carbon dioxide gas is formed during respiration and is vital to sustaining life on earth. It is also not an environmental hazard.
