subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Real Estate Vocabulary Exam,All of these people can sue for specific performance EXCEPT:,an attorney-in-fact acting for the principal.,the purchaser of a residential property.,the seller of a large tract of land.,a broker acting as the agent for the principal.,d,Answer: D. A broker acting as an agent would not likely be able to sue his principal for specific performance because the broker is not a party to his principal's contract.
Real Estate Vocabulary Exam,An agreement with a lender that prohibits early payoff of a loan is known as a(n):,exculpatory clause.,lock-in clause.,open-end mortgage.,prepayment penalty.,b,Answer: B. A lock-in clause is a clause that may appear in a note or land contract that prohibits the lendee from paying off the indebtedness before the date set forth in the contract.
Real Estate Vocabulary Exam,The quickness with which assets can be converted into cash is known as:,risk,yield,leverage,liquidity,d,Answer: D. Liquidity is the ability to convert assets into cash at a price close to true value. Stocks that are traded publicly are a relatively liquid investment. Real estate is considered to be a longer-term investment as it is not highly liquid.
Real Estate Vocabulary Exam,A licensee can legally do all of these things EXCEPT:,use an open listing without a final and definite termination date.,collect a commission or service a mortgage loan that he did not negotiate.,claim an income tax deduction for a commission paid for the sale of his own property.,fail to use a termination date on an exclusive listing.,d,Answer: D. Using an exclusive listing without a definite termination date is a violation of the real estate law.
Real Estate Vocabulary Exam,lessee may be justified in abandoning a rented dwelling if there is constructive eviction by the landlord. All of these would be constructive eviction EXCEPT:,an eviction notice is tendered by the landlord.,unwarranted delays by the landlord after notice to make repairs of damages that have made the property unfit for occupancy.,condemnation of the entire property in eminent domain proceedings.,failure of the landlord to repair excessive wear and tear to property caused by the tenant.,d,Answer: D. A landlord would not likely be found guilty of constructive eviction for failing to repair excessive wear and tear caused by the tenant. The three other circumstances would be classified as constructive eviction.
Real Estate Vocabulary Exam,"An investor purchased an apartment building with a very small down payment and was able to secure financing for the balance. A year later, he sold the property for profit with no increase in his investment. This is an example of:",leverage,inflation,appreciation,debt reduction,a,Answer: A. he basic idea of leverage is to use other people's money to finance purchases to realize greater return on your investment. The increase is called appreciation.
Real Estate Vocabulary Exam,Franklin offered to perform all of the obligations in a purchase contract. This act is considered a:,demand,covenant,condition,tender,d,Answer: D. Tender is the act by which one offers to perform under a contract. It is not the actual performance.
Real Estate Vocabulary Exam,An escrow company received two termite reports in which the estimates of cost of the work differed. Under these circumstances:,the seller and broker should present both reports to the buyer.,the least expensive report should be used.,the seller and broker must decide which report to use.,the most expensive report should be used.,a,"Answer: A. The results of a pest control inspection report, including the cost of corrective work, would be material facts to a buyer and must be disclosed. If two or more inspections are made, all reports must be disclosed."
Real Estate Vocabulary Exam,A contract signed under duress would be:,void,voidable,illegal,unenforceable,b,"Answer: B. When the mutual consent to a contract is induced by fraud, duress, menace, or undue influence, the contract is voidable at the option of the wronged party."
Real Estate Vocabulary Exam,A listing agent gave part of his commission to the buyer. He:,must disclose this to the seller.,may be disciplined by the real estate commissioner.,is guilty of criminal action.,is guilty of committing a civilly wrong act.,a,"Answer: A. That an agent ""gave part of his commission to the buyer"" would be considered a material fact. The fiduciary relationship of the agent to the principal required full disclosure of all material facts. The agent would not be disciplined by the real estate commissioner unless the broker failed to disclose this material fact to the principal."
Real Estate Vocabulary Exam,Amenities of residential real estate are:,related to its capacity to provide shelter effectively.,not considered by appraisers because they are intangible qualities.,measurable on the market.,the property's physical attributes.,c,"Answer: C. menities are the attractive or desirable features of a home or neighborhood. These may be physical attributes or perhaps the neighborhood's attitude toward schools, well-kept lawns, et cetera. These may be tangible or intangible qualities measurable on the market."
Real Estate Vocabulary Exam,"Mr. Ferguson purchased a property for $125,000 with 12% cash down. He financed the balance with equal monthly payments of $1,048, which included 11% interest, and the loan would be fully amortized in 30 years. Mr. Ferguson sold the property for $139,750 before making any payments on the loan. What was his equity at the time of sale?:","$15,000","$29,750",None of these,"$24,750",b,"Answer: B. Purchase Price $125,000 (Equity at purchase) Less Down Payment -15,000 (0.12 cash down) x $125,000 Loan $110,000 Selling Price $139,750 Less Loan -110,000 Equity $29,750 (At time of sale)"
Real Estate Vocabulary Exam,hich loan costs are NOT required to be disclosed as a finance charge to the customer under federal truth-in-lending rules?:,Finder's fees,Credit investigation,Buyer's points,Time-price differential,b,"Answer: B. Under the Truth-in-Lending Act, Buyer's points, time-price differential, and finder's fees must be disclosed in the finance charge. Exempted charges on residential mortgage transactions include title insurance, document costs, recording and notary fees, credit investigations, and appraisal fees."
Real Estate Vocabulary Exam,"A seller sued a real estate broker for misrepresentation of a material fact that the broker had made to him during the sale transaction. In defending the suit, the broker was able to prove that the listing contract with the seller had been an oral agreement. Under these circumstances:",this defense is not a bar because it was not the issue.,the broker is only liable for misrepresentation to buyers.,the statute of frauds is not a bar in any real estate transaction litigation.,this is a valid defense based on the statute of frauds.,a,Answer: A. The broker cannot use the statute of frauds as a defense in this situation. The statute requires that the listing contract be in writing to be enforceable in court but has nothing to do with misrepresentation.
Real Estate Vocabulary Exam,Which document is NOT a means of creating an interest in real property?:,Lease,Bill of sale,Deed,Mortgage,b,"Answer: B. A bill of sale is used to convey title to personal property, not real property."
Real Estate Vocabulary Exam,A broker who is selling property on which he holds an option must inform the buyer that he is a(n):,principal,agent,grantor,optionor,a,"Answer: A. A broker who holds an option to purchase real property is a principal. He is not representing a seller but is dealing on his own behalf, a fact that must be disclosed to a purchaser."
Real Estate Vocabulary Exam,Which would have the least effect on property taxes in a community?:,Homestead exemptions,Number of commercial buildings and high-priced homes,Compactness of the community,Zoning and private restrictions,a,Answer: A. Homesteads will not protect the owners from property taxes and would have the least effect on them.
Real Estate Vocabulary Exam,A lease for a period of years that is held by the lessor is an example of:,freehold estate.,none of these.,personal property.,real property.,c,"Answer: C. While in fact the lessor (landlord) has a freehold estate on the property, she has given a tenant the right to possess the property for a period of time using an instrument called a lease. This lease is a piece of paper and it is the personal property of the landlord (lessor)."
Real Estate Vocabulary Exam,The federal Fair Housing Law was enacted for the purpose of:,providing fair housing for minority groups.,providing fair housing opportunity for all persons throughout the United States.,equal but separate housing within the states.,elimination of prejudice throughout the United States.,b,Answer: B. This is the law's basic purpose: to provide all persons in the United States with fair housing opportunities.
Real Estate Vocabulary Exam,An agency agreement may be terminated by all of these occurrences EXCEPT:,destruction by fire of the property that is the subject matter of the agency agreement.,the principal's refusal of an offer to purchase presented in the name of a third person.,renunciation of the agreement by the agent.,mutual termination by both the principal and agent prior to the original termination period.,b,"Answer: B. The parties may agree to terminate an agency. An agent may renounce it. An agency is terminated by extinction of the subject matter, but a principal's refusal of an offer to purchase does not terminate an agency agreement."
Real Estate Vocabulary Exam,The most distinguishable characteristic of personal property is:,mobility.,being affixed to land as a permanent part of the land.,all of these.,being incidental or appurtenant to land.,a,"Answer: A. Personal property has the characteristics of being movable. Therefore, it has mobility. Being incidental or appurtenant to land and being affixed to land as a permanent part of the land are characteristics of real property."
Real Estate Vocabulary Exam,"Jones is using Smith's swimming pool and suffers an injury. If Jones instituted court action and obtained a judgment against Smith for $2,500, it would be a(n):",voluntary lien.,abstract lien.,general lien.,specific lien.,c,Answer: C. A judgment is a general lien when the abstract of judgment is recorded.
Real Estate Vocabulary Exam,An appraiser is called upon to appraise a property on which there was a building of no value. The appraiser should:,appraise for highest and best use and disregard the cost of demolition.,add the salvage value of the building.,appraise for highest and best use and deduct the cost of demolition.,ignore the building.,c,"Answer: C. If there is an existing structure on the property, the appraiser will value the land for its highest and best use as if vacant, but must allow a reduction for the cost of removal of the structure."
Real Estate Vocabulary Exam,Liquidation of a financial obligation on an installment basis is:,conversion,acceleration,conventional,amortization,d,Answer: D. Amortization is (1) the liquidation of a financial obligation on an installment basis or (2) recovery of cost or value over a period of time
Real Estate Vocabulary Exam,"Mr. Able obtained a loan to build an apartment building. (1) He planned to charge a higher deposit to single males, and (2) his only source of advertising was to ask his tenants, predominantly white, to refer their friends as prospective tenants. With reference to fair housing laws, Mr. Able's actions would be correct in which choice(s)?:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,"Answer: B. Requiring higher deposits from single males would be unlawful discrimination on the basis of sex and marital status. Limiting advertising to referrals from present tenants would not be in violation of any antidiscrimination law. Not all of the tenants were of any one racial group, and there is no indication that their friends would all be of any one race, color, creed, et cetera."
Real Estate Vocabulary Exam,The remedy of unlawful detainer is most commonly used by offended:,grantors,lessors,holders of notes in default,trustors,b,"Answer: B. When preceded by a three-day notice to quit or pay rent, the unlawful detainer is the proper procedure designed by law by which the lessor can have the tenant evicted."
Real Estate Vocabulary Exam,Which is NOT a specific lien?:,Judgment lien,Mechanic's lien,Blanket mortgage,Unrecorded property tax lien delinquent from prior years,a,"Answer: A. A judgment lien is a general lien on all property of the debtor not otherwise exempt by law. A property tax lien, a mechanic's lien, and a blanket mortgage are all specific liens."
Real Estate Vocabulary Exam,An agent may collect a commission for a negotiated sale after the term of the listing contract expired if:,the agent signs a release clause.,the contract contains a protection period clause.,the agent sues the principal for liquidated damages.,there is an alienation clause.,b,"Answer: B. A protection clause, also called a safety clause, in a listing agreement binds the seller to the payment of a commission to the broker if the property is sold within a period of so many days after the expiration of the listing to a person with whom the broker negotiated during the listing period."
Real Estate Vocabulary Exam,"A quitclaim deed releases present claim, rights, and title of the:",property,grantor,servient tenement,grantee,b,"Answer: B. The grantor is the owner of whatever rights are to be conveyed, whether by grant deed or quitclaim deed."
Real Estate Vocabulary Exam,What will have an impact on the real estate market in years to come?:,Land-use regulation,Consumerism,The real estate industry,All of these,d,"Answer: D. Changes in the real estate market are currently being brought about by growing land-use regulation, the growth of the philosophy of consumerism, and extended legislative and judicial regulation of the real estate industry."
Real Estate Vocabulary Exam,What is the first step in the appraisal process?:,Define the appraisal problem,Make a preliminary survey and appraisal plan,Organize the data program,Classify the data,a,"Answer: A. Before making an appraisal, an appraiser must define the problem to see what is to be done and how it is to be accomplished."
Real Estate Vocabulary Exam,The amount an appraiser charges for an appraisal is established by the:,real estate commissioner.,agreement between the appraiser and the client.,Federal Housing Authority.,Office of Real Estate Appraisers.,b,Answer: B. Appraisal fees are set by agreement between the appraiser and the client.
Real Estate Vocabulary Exam,What is the best definition of company dollar with regard to a real estate office?:,Gross income minus commissions,Gross income minus operating expenses,Office expenses,Cost to set up the business for a specific length of time,a,"Answer: A. The company dollar is the money earned by a real estate company and retained by the company after commissions have been paid. From the company dollar, operating expenses will have to be paid."
Real Estate Vocabulary Exam,The gross multiplier is LEAST likely to be used in the appraisal of:,a residence.,commercial property.,apartment buildings.,vacant land.,d,Answer: D. The gross multiplier method involves applying a market-established multiplier to the gross income. Vacant land does not usually produce income.
Real Estate Vocabulary Exam,A dual agency in the negotiation of a sale of real property is lawful if:,both buyer and seller agree.,both brokers agree.,the escrow agent agrees.,the broker of the seller agrees.,a,Answer: A. An agent can lawfully act for two principals in negotiation with each other provided that both principals have knowledge of and consent to the dual agency.
Real Estate Vocabulary Exam,"In the matter of a broker's commission to be paid by a seller, which statement is TRUE?:",The broker's commission earned but not paid creates a lien on the seller's property.,"The seller and buyer may rescind sale, thus relieving the seller of the obligation to pay the broker's commission.",Action for the broker's commission must be brought within four years of earning the commission.,A listing agreement signed only by the seller is unenforceable.,c,"Answer: C. According to the statute of limitations, action for performance of a written contract for a commission must be brought within four years of earning the commission."
Real Estate Vocabulary Exam,"Broker Wilson sells a house, and a loan for the buyer is secured through a savings and loan association. Wilson carefully explains all loan costs to the buyer. According to the Real Estate Settlement Procedures Act (RESPA), which statement is TRUE?:",Broker Wilson would not have to provide an estimate of settlement costs to the buyer because he had explained all costs.,The lender must provide the buyer with an estimate of settlement costs within three days.,The lender must provide an estimate of settlement costs to the buyer immediately.,Broker Wilson must provide the buyer with an estimate of settlement costs within one week.,b,"Answer: B. Under RESPA, the lender must furnish a copy of a special information booklet prescribed by HUD together with a good-faith estimate of closing costs to every person from whom the lender receives a written application for a first mortgage loan. The lender shall supply the good-faith estimate by delivering or placing it in the mail not later than three business days after the application is received."
Real Estate Vocabulary Exam,"To alienate title to real property, an individual:",records a homestead.,clouds a title.,conveys title.,secures an ALTA policy of title insurance.,c,Answer: C. To alienate means title is conveyed from one owner to another. Alienation is the opposite of acquisition.
Real Estate Vocabulary Exam,A real estate agent's license will be suspended when the real estate fund pays a judgment creditor of the agent and will not be reinstated until the agent:,"reimburses the recovery account for one-half of all funds paid to the judgment creditor, plus interest.","pays the judgment creditor all funds that were not paid from the recovery account, plus interest.",pays back the recovery account with interest.,pays the judgment creditor and the recovery account plus interest.,c,"Answer: C. The Real Estate Law (B&P Code Section 10475) provides that no broker's or salesperson's license suspended under these circumstances can be reinstated until the recovery account has been repaid in full, plus interest at the prevailing legal rate."
Real Estate Vocabulary Exam,A plot plan:,is used as a guide to the placement of structures and related improvements on the lot.,shows exterior of structures to be built.,is used as an exact guide for construction of improvements.,shows contour of the land.,a,"Answer: A. A plot plan shows the layout of improvements on a property site (a plot). The plot plan usually includes location, dimensions, parking areas, landscaping, and the like."
Real Estate Vocabulary Exam,"Considering the nature of real estate investments in that they are made over a long period of time, require a considerable amount of money, are harder to care for, and generally have a slower turnover, the return on these investments should be:",the same as first trust deeds.,higher than bonds but lower than first trust deeds.,more than bonds and first trust deeds.,the same as bonds.,c,Answer: C. Most investors in real estate demand a greater return than is customary with bonds or trust deeds because the risk of ownership is higher and the investment does not have the same degree of liquidity.
Real Estate Vocabulary Exam,The gross rent multiplier is developed by dividing the:,gross monthly income by the assessed value.,gross monthly income by the sales price.,sales price by the gross monthly income.,gross monthly income by the market value.,c,"Answer: C. To determine the gross monthly multiplier, divide the sales price by the gross monthly income."
Real Estate Vocabulary Exam,Which are considered artificial monuments?:,Trees and fences,Fences and rock,Canals and streets,Streets and trees,c,"Answer: C. Both canals and streets are humanmade and would be considered artificial monuments. Trees and rocks, although they can be moved by humans, normally are considered natural marking points."
Real Estate Vocabulary Exam,"When dealing with the public, a broker must:",delegate responsibilities to another person.,do all of these.,disclose all material facts known only to himself or herself.,not refuse to take a listing.,c,"Answer: C. A broker has a duty to disclose material facts; failure to disclose material facts to the parties involved could be considered negative fraud. As long as there is no illegal discrimination involved, there are many reasons why a broker may refuse to take a listing. For example, many brokers will refuse to take an unreasonably overpriced listing."
Real Estate Vocabulary Exam,What best describes an attorney-in-fact?:,A lawyer acting as an attorney for a client,A lawyer appointed by the court,A person with a dual agency,A legally competent person appointed to represent another person through a power of attorney,c,"Answer: C. power of attorney is a written instrument giving authority to an agent, called an attorney-in-fact. Don't confuse with attorney-at-law."
Real Estate Vocabulary Exam,"A broker was to receive a 6% commission from the sale of a property. Her salesperson was to receive 45% of the 6% commission. The salesperson received $8,100. What was the selling price of the property?:","$135,000","$40,000","$300,000","$435,000",c,Answer: C. 2.7% is salesperson's share (6% gross x 45% split)
Real Estate Vocabulary Exam,Under the Real Estate Settlement Procedures Act (RESPA) lenders are required to give borrowers:,a bill of sale.,the amount of mortgage interest.,a good-faith estimate.,an invoice not exceeding $10 for the special information booklet.,c,Answer: C. RESPA requires the lender to furnish the borrower the following two items by delivering them in person or placing them in the mail not later than three business days after the application of the borrower is received: (1) a Special Information Booklet prepared or approved by HUD that explains settlement costs; and (2) a good-faith estimate of the settlement costs.
Real Estate Vocabulary Exam,An executed contract is a contract:,under the jurisdiction of the probate court.,to be rewritten.,completed and fully performed by both parties.,"signed, notarized, and recorded.",c,"Answer: C. When applied to contracts, the word executed means fully performed by both parties. (When the word executed is used in discussing deeds, it means signed.)"
Real Estate Vocabulary Exam,The best definition of capitalization is:,the relationship between value and net worth.,the result of dividing net income by a percentage rate of return to determine value.,the highest rate of return on an investment.,the minimum rate of return on an investment.,b,"Answer: B. The process of capitalization is ""dividing net income by a percentage rate of return to determine value."" The capitalization rate is the relationship between value and net income, not net worth."
Real Estate Vocabulary Exam,All of these statements about depreciation are true EXCEPT:,it always is concerned with intrinsic factors but never with extraneous factors.,it is a loss of value from any cause.,it includes all influences that reduce the value of property below replacement cost.,it can be a loss of value due to wear and tear.,a,Answer: A. Depreciation can be from either inherent (inside) or extraneous (outside) factors.
Real Estate Vocabulary Exam,A real estate licensee negotiated the sale of a farm for a seller. The agent's commission can be paid in which form?:,Check or cash,Assignment of existing note,Any of these,Assignment of funds from buyer to seller,c,"Answer: C. Under normal circumstances, a commission is paid by check. However, as long as the principal and the broker agree, the commission may be paid in any of the forms listed."
Real Estate Vocabulary Exam,"In comparing real estate investments to other types of investments, the turnover is:",faster than stocks.,slightly slower than an average of other investments.,faster than other commodities.,slower than other investments.,d,"Answer: D. The liquidity of an investment is the ease with which it can be immediately converted to cash. Compared to stocks and commodity investments, real estate is less liquid so its turnover is slower than other investments."
Real Estate Vocabulary Exam,The main purpose of a deed is to:,show a change of real property transfer.,provide evidence of a change of title or transfer of an interest in real property.,identify the parties in the transfer of title of real property.,provide a legal document eligible for recording.,b,Answer: B. A deed is a written instrument that conveys title to or an interest in real property.
Real Estate Vocabulary Exam,A broker negotiated a loan for a client. The beneficiary did not specifically instruct the broker to record. The broker is obligated to record:,at same time funds are disbursed.,before funds are disbursed.,within 10 days of the date funds are disbursed.,immediately after funds are disbursed.,b,"Answer: B. Article 5 of the Real Estate Law stipulates: Unless a lender has given written authorization to the broker, the broker may not disburse the loan funds until after recording the trust deed securing the note evidencing the loan. If the lender has given the broker authority to release funds prior to recordation, the securing trust deed must be recorded, or delivered to the lender with a written recommendation for immediate recordation, within 10 days, following the disbursement of loan funds."
Real Estate Vocabulary Exam,"An owner of a small investment company advertised and sold properties for a commission. In his advertisements he did not indicate that he was a licensee, and in fact, he was not. He also made false statements in his advertising. Since he failed to disclose material facts, who would prosecute this person?:",Real estate commissioner,Attorney general,Local law agencies,District attorney,d,"Answer: D. The district attorney prosecutes violators of the real estate license law. Without a license one cannot receive compensation, a commission, or fee for the performance of any of the acts defined as being within the purview of a licensed broker or salesperson. Since the person in the question is not licensed, the real estate commissioner would not have the authority to discipline this individual."
Real Estate Vocabulary Exam,All of these are necessary for the creation of an agency agreement EXCEPT:,fiduciary relationship.,consideration.,mutual agreement of the parties.,competency of the seller.,b,Answer: B. Consideration is not required of an agency relationship. The agency may be a gratuitous agency.
Real Estate Vocabulary Exam,"In the purchase of a residence, the buyer conditioned the sale upon the seller's providing the buyer with a certified inspection report from a licensed pest control operator showing the property to be free of wooddestroying organisms. The seller contracted the Apex Termite Control Company who, upon inspection, reported termite damage and estimated the repairs would cost $500. The seller then had Apex repair the damage and the seller made payment directly to the contractor for the work that had been done. With respect to the report of work accomplished, which statement is TRUE?:","No report need be made to the buyer since the seller had the work done and paid for it, and the residence is now free of termites.",Either the broker or the seller would be responsible for delivering a copy to the buyer.,The Apex Termite Company would be required to deliver a copy to the buyer.,The escrow officer would ensure the buyer has received a copy of the report since escrow cannot close until this has been accomplished.,b,Answer: B. Either the seller or broker must ensure that the buyer receives a copy of the report showing that the repairs were accomplished and that the property is free of termites.
Real Estate Vocabulary Exam,Recording a deed:,raises presumption of delivery.,transfers title.,gives actual notice.,insures possession.,a,"Answer: A. A deed must be acknowledged to be recorded. The fact that it has been recorded indicates that the grantor signed it, acknowledged it, and let it out of his or her hands; therefore, a presumption of delivery is made, albeit a rebuttable presumption."
Real Estate Vocabulary Exam,"If an apartment owner is converting the building to a condominium project, each tenant must receive advance notice of intention to convert. What is the notice time requirement for this phase of conversion?:",90 days,120 days,30 days,180 days,d,Answer: D. Each of the tenants will be given 180 days written notice of intention to convert prior to termination of tenancy.
Real Estate Vocabulary Exam,"A contract between two or more persons where one grants the other the right to sell, offer to sell, or exchange goods or services under a marketing plan designed by the grantor is a:",franchise agreement.,securities and exchange agreement.,financing agreement.,business opportunity.,a,"Answer: A. A franchise agreement is set forth in the Franchise Investment Law as: ""A contract between two or more persons where one grants the other the right to sell, offer to sell, or exchange goods or services under a marketing plan designed by a grantor."""
Real Estate Vocabulary Exam,"In an advertisement, only the annual percentage rate is mentioned. What else must also be disclosed in the ad?:",Monthly payments required,Amount of down payment required,No further disclosures necessary,Amount of loan,c,"Answer: C. If only the APR is given, no additional disclosures are required. Don't confuse that with the following rule: If any one of the following is given:
1. Amount or percentage of any down payment                
2. Number of payments or period of repayment                
3. Amount of any payment                
4. Amount of any finance charge 
Then, the ad must disclose:                
1. Amount or percentage of the down payment                
2. Terms of repayment                
3. APR, and if the rate may be increased, that fact                "
Real Estate Vocabulary Exam,How much can a lender legally charge a borrower for the preparation of the Closing Disclosure form?:,1%,$25.00,1/2 of 1%,Nothing,d,"Answer: D. ILA-RESPA rules, the lender is not permitted to charge for the preparation of either the Closing Disclosure form or the Loan Estimate form."
Real Estate Vocabulary Exam,Which criterion would NOT be used to determine net income for an income property?:,Maintenance costs,Management fees,Mortgage interest,Vacancies,c,"Answer: C. For determining net income in the income approach to appraisal, mortgage interest is a personal expense of the owner, not an operating expense of the property. Vacancies, management fees, and maintenance costs are all allowable deductions in establishing net operating income for appraisal purposes."
Real Estate Vocabulary Exam,"There are several reasons why a contract can be voidable. However, a voidable contract is binding on the parties until it is:",qualified.,invalidated.,rescinded.,discovered.,c,Answer: C. Voidable means the contract is binding until some action is taken to rescind the contract.
Real Estate Vocabulary Exam,Functional utility in a dwelling is dependent upon:,zoning in the area.,its floor plan and equipment.,the condition of heating system.,the desires of its occupants.,d,"Answer: D. For a dwelling to have utility, it must have the power to give satisfaction or arouse desire for possession. The functional utility of a property is the sum of its (1) attractiveness (e.g., architecture) and (2) usefulness or utility. Therefore, the functional utility in a dwelling is dependent upon the desires of its occupants."
Real Estate Vocabulary Exam,Property is:,personal if not real.,personal if a fixture.,all of these.,real if tangible.,a,Answer: A. All property is either real property or personal property.
Real Estate Vocabulary Exam,"George Greedy owns a subdivision in Roughacres and intends to mail a promotional brochure to 1,000 persons. The brochure will offer gifts and prizes and state that winners will be property owners. The brochure does not state that a person must attend a sales seminar and tour the subdivision in order to be eligible for a gift or prize. Would this brochure be in violation of any law?:","No, it is not unlawful since each person who wins a prize is also a property owner","No, it is not unlawful since he is not required to disclose that a person must attend a sales seminar in order to become eligible for a gift or prize","Yes, it is unlawful since he did not disclose that a person must be present and attend a sales seminar to be eligible for a gift or prize","Yes, it is unlawful since you cannot win a prize and be a property owner",c,"Answer: C. Commissioner's Regulation 2799.1(3a) states: ""Complete rules and procedures for any contest or drawing advertised in connection with the marketing of subdivision interests shall be included in the advertisement…"""
Real Estate Vocabulary Exam,An agency contract can be created by all of these EXCEPT:,an implied contract in law.,appointment by the principal.,a voluntary offer by the agent.,an oral contract.,c,"Answer: C. An offer is not a contract; it is an expression of willingness to enter into a contract. While the existence of agency is a question of fact and is not dependent on the existence of a contract, this question asks about an agency contract. A voluntary offer by the agent would not create an agency contract; the offer would have to be accepted in order for a contract to be created."
Real Estate Vocabulary Exam,"A real estate licensee went into a neighborhood and attempted to solicit a listing by stating to the property owner that ""non-whites"" would be moving into the neighborhood and that property values would thereby go down. Such conduct would be considered all of these things EXCEPT:",legal but unethical.,panic selling.,blockbusting.,illegal conduct.,a,Answer: A. Blockbusting and panic selling are terms to describe the illegal conduct of the licensee's activities in this question.
Real Estate Vocabulary Exam,Recording a deed would give:,actual notice.,right of possession.,effective notice.,constructive notice.,d,"Answer: D. The law construes that everyone is given constructive notice when a document affecting title to real property is recorded where it can be seen by anyone. Recording gives constructive ""notice to the world."" Actual notice is expressed information of fact experienced by the person to whom given."
Real Estate Vocabulary Exam,"In real estate financing, lenders will sometimes refer to ""nominal rate"" when granting a loan. This means:",the rate of interest specified in the promissory note.,that the rate of interest in the final granting of the loan will be greater than the commitment.,the maximum rate of interest allowed by law is obtainable on financing a property.,"points will be required, as the rate required by the lender would exceed the legal rate of interest.",a,"Answer: A. The word nominal stems from the word ""name"" and is the rate named in the note."
Real Estate Vocabulary Exam,"An individual is purchasing a parcel of real property. The provisions of the contract require the seller to convey title to the property when the buyer pays the full amount of the contract to the seller. When the buyer has fulfilled his part of the contract and requests the seller to convey title, the seller refuses to fulfill his contractual obligation. Under these circumstances the seller has done what?:",Tender,Covenant,Demand,Breach,d,Answer: D. The seller has breached the contract under the stated circumstances.
Real Estate Vocabulary Exam,Which entity has the responsibility for determining property values for real property tax purposes?:,Assessor's office,Board of Supervisors,Board of Equalization,Tax commissioner,a,Answer: A. The primary function of the county assessor is to establish an assessment roll each year that reflects the assessed value of real property within the county.
