subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Property ownership and land use controls and regulations,Private restrictions on the use of land are best created by:,verbal agreement.,ratification.,constructing a physical barrier around the property.,"recording the restrictions with the county recorder, with reference made in the deed to each parcel.",d,"d - Of the answer choices provided, the best way to create a private restriction on the use of land is by recording the restrictions with the county recorder. However, a private restriction may also be created through a developer’s restrictions for a subdivision or through a written agreement."
Property ownership and land use controls and regulations,“Potable” means:,drinkable water.,sewer systems.,backfill.,plumbing metal.,a,a - Potable water is suitable for drinking.
Property ownership and land use controls and regulations,Placing two or more contiguous units under common ownership for the purpose of increasing the value is known as:,dual ownership.,severalty ownership.,plottage.,reversion.,c,c - The act of combining parcels of real estate is referred to as assemblage. The increase of value is referred to as plottage.
Property ownership and land use controls and regulations,Which of the following is shown on a plot map?,Thickness of exterior walls.,Topography of the surrounding area.,Location of the improvement on the lot and its relationship to surrounding features.,Foundation features and construction materials.,c,"c - Beware of the incorrect answer B. Topography, referencing the lay of the land. Topography is not included on a plot map."
Property ownership and land use controls and regulations,Personal property may not:,become real property.,be hypothecated.,be alienated.,None of the above.,d,"d - Beware of question construction phrased in the negative, “may not.” Here, you need to identify the answer selection that does not correctly complete the question. As personal property may undergo any of the activities referenced in all of the answer selections, None of the above is correct."
Property ownership and land use controls and regulations,The physical components of a subdivision are controlled by the:,Department of Real,city or county planning commission.,Department of Architecture. Estate (DRE).,Division of State Lands.,b,b - The Subdivision Map Act controls the physical elements of a subdivision which is overseen by local governments.
Property ownership and land use controls and regulations,"Mary held a life estate for her lifetime in a single family residence. She leased the residence to Martha for a five-year period, but died a few weeks after the lease began. The lease was:","invalid on its face, because the holder of a life estate does not have the right to lease the property.",continued in effect for the full five-year term.,valid only during the life of the lessor (Mary).,valid only if Martha was unaware of the life estate when the lease was created.,c,"c - When a life estate ends, the ownership of the real estate transfers and therefore existing contracts also end."
Property ownership and land use controls and regulations,What notice is filed first in regards to a mechanic’s lien?,Notice of Nonresponsibility.,Notice of Cessation.,Notice of Completion.,Notice to Perform or Quit.,a,"a - An owner may prevent the attachment of a mechanic’s lien by recording and posting a Notice of Nonresponsibility within ten days after they become aware of tenant-contracted improvements. 32 Unlocking the DRE Salesperson and Broker Exam, Fourth Edition"
Property ownership and land use controls and regulations,A subcontractor uses a __________ to notify a general contractor or the owner of their right to record and foreclose a mechanic’s lien against property when they are not paid.,Notice of Default,Right of First Refusal,20-day preliminary notice,30-day Notice to Vacate,c,"c - Before a subcontractor employed by a contractor may record a mechanic’s lien against real estate and enforce it by foreclosure, they perfect their lien rights by serving a 20-day preliminary notice."
Property ownership and land use controls and regulations,Which of the following is not a specific lien?,A property tax lien.,A blanket mortgage.,A judgment for punitive money damages.,A mechanic’s lien.,c,c - A judgment for punitive money damages is filed against an individual rather than a specific property.
Property ownership and land use controls and regulations,Which of the following is a lien?,A recorded notice.,A homestead.,An easement.,An attachment.,d,"d - A lien always has a dollar value. Therefore, the only correct answer is the attachment."
Property ownership and land use controls and regulations,"If a lien covers all properties of the debtor in that county where it is recorded, it is known as a:",lis pendens.,specific lien.,general lien.,mechanic’s lien.,c,"c - As the lien attaches to multiple properties owned by the debtor, versus a specific property, it is referred to as a general lien."
Property ownership and land use controls and regulations,"To establish title by adverse possession, an occupant must show all these except:",they have occupied the property in a way which constitutes no notice to the record owner.,the payment of taxes for five years.,open and notorious use.,hostile use.,a,a - This question is phrased in the negative. All other answer choices are conditions that need to be met to establish title by adverse possession. Tip: the answer choices in this question may provide the answer for later exam questions on this topic.
Property ownership and land use controls and regulations,Appurtenances go with the land. Which of the following is not an appurtenance?,Buildings.,A swimming pool.,Fences.,A trade fixture.,d,d - This is another question phrased in the negative. Trade fixtures are personal property and do not go with the land.
Property ownership and land use controls and regulations,Ownership rights and interests in real estate are called:,land sales contracts.,estates or fees.,liens.,tenancies.,b,b - Ownership might be a fee title or a life estate. Both are examples of a freehold estate.
Property ownership and land use controls and regulations,Which of the following is an example of a freehold estate?,Beneficiary interest.,An estate at sufferance.,A life estate.,An estate at will.,c,c - A life estate is an example of a freehold estate.
Property ownership and land use controls and regulations,"All of the following are less-than-freehold estates, except:",An estate for years.,Leasehold interest.,A life estate.,An estate at sufferance.,c,c - Freehold is ownership. Less-than-freehold is a leasehold.
Property ownership and land use controls and regulations,Which of the following best describes an estate of indefinite duration?,Estate for years.,Life estate.,Periodic tenancy.,Estate of inheritance.,d,"d - An estate of inheritance is a fee title. Therefore, it lasts in perpetuity - an indefinite time."
Property ownership and land use controls and regulations,In what way is a tenant in an apartment like an owner of a condominium?,Both hold a fee interest.,The owner of the condominium and the tenant of the apartment each have an estate in real property.,The local tax assessor needs to assess each property separately.,Both have ownership of an individual unit.,b,b - The question asks for what the owner and a tenant have in common. Both interests held by an owner and tenant are described as an estate.
Property ownership and land use controls and regulations,The word “tenancy” in real property law most nearly means:,life tenant.,the method or mode of holding interest to real property by the lessee or owner.,the landlord-tenant relationship.,the right to freely sell a property to another in the open market.,b,"b - As with the term “estate,” both the owner’s position as well as the lessee’s may be described as a “tenancy.”"
Property ownership and land use controls and regulations,Appurtenant rights include the right of ingress and ___________ across adjoining properties.,trespass,traversal,egress,pro rata,c,"c - Access rights include both egress and ingress (entering and exiting), such as with a driveway easement."
Property ownership and land use controls and regulations,Easements which restrict an owner’s ability to maintain or construct improvements interfering with a neighbor’s solar energy system are known as easements.,airborne,solar,galactic,greenway,b,b - Solar panels are generally located on the roof of a structure. A solar easement prohibits the blocking of those panels from exposure to the sun.
Property ownership and land use controls and regulations,"The Real Estate Commissioner, under the Subdivided Lands Law, is initially concerned with which court:",Small Claims.,Superior.,Federal Supreme.,State Appeals.,b,"b - The Subdivided Lands Law is controlled by the California Bureau of Real Estate. Since this is a state entity, the process of elimination excludes the Small Claims, Federal Supreme and Appellate courts, leaving the Superior Court as initially handling real estate disputes."
Property ownership and land use controls and regulations,An encroachment is:,a fence built on an owner’s property for security and privacy purposes.,"an improvement on real estate, such as a building, fence, driveway or tree, which extends onto a neighbor’s real estate.",a doctrine used by property owners to establish boundary lines.,an exclusive right-to-use easement.,b,b - Encroachment is an example of trespass.
Property ownership and land use controls and regulations,"Upon moving into the home they had just purchased, the owner discovered their neighbor’s garage encroached four feet over his property line. lf a friendly settlement cannot be negotiated, the owner may sue the:",escrow company.,title company.,"agent, for failure to disclose the encroachment.","neighbor, since the encroachment is a trespass.",d,d - The neighbor is the one who is trespassing and is the party the owner may sue.
Property ownership and land use controls and regulations,Lead-based paint was banned by the Federal Consumer Product Safety Commission in:,1940,1973,1978,1996,c,"c - Under federal law, a lead-based paint disclosure is required on all single family residential property built prior to 1978."
Property ownership and land use controls and regulations,Environmental hazards located on a property which pose a direct health threat to occupants include toxic mold and:,building materials containing asbestos.,recent seismic activity.,carbon dioxide gas.,very high fire hazard severity zones.,a,a - Building materials containing asbestos pose a direct health threat to occupants. Seismic activity and very high fire hazard severity zones are natural hazards occurring off of a property and are not man-made environmental hazards. Carbon dioxide gas is formed during respiration and is vital to sustaining life on earth. It is also not an environmental hazard.
Laws of agency and fiduciary duties,A property owner suffers a loss because of the fraudulent misrepresentation of a broker. The owner is advised to first:,file a claim with the Real Estate Commissioner.,file a claim with the Real Estate Education Research and Recovery Fund.,sue the broker for damages.,collect from the broker’s errors and omissions (E&O) insurance carrier.,c,"c — When a principal feels there is a grievance with a broker, they need to first pursue the broker for damages. If unsuccessful in collecting after prevailing in court, they can then submit the judgment to the Recovery Fund for payment."
Laws of agency and fiduciary duties,Which of the following is an example of a trust fund violation?,Holding a deposit check uncashed prior to acceptance at the direction of the buyer.,Holding a deposit check uncashed after acceptance at the direction of the seller.,Holding a deposit check uncashed at your own discretion.,Failing to disclose a material defect to a buyer which negatively affects the value of a property.,c,"c — This question concerns the person that has authority to act regarding deposits. Only the principals can decide the proper handling of the check. Answer selection D, while a violation of disclosure law, is not a trust fund and accounting violation."
Laws of agency and fiduciary duties,The Real Estate Law is part of:,the Corporations Code.,the Business and Professions Code.,the Statute of Limitations.,Penal Code.,b,"b — The Real Estate Law is located in a specific state code. Not all real estate companies are corporations, so it would not be reasonable for the law to come from the Corporations Code. The Statute of Limitations has to do with time limits before which action need to be taken. Real estate brokerage is considered a profession, and thus is controlled under the Business and Professions Code."
Laws of agency and fiduciary duties,Commingling means the opposite of:,subrogation.,mixing.,subordination.,separation.,d,"d — Commingling is nearly identical to the meaning of the word mixing. Therefore, separation would be its opposite."
Laws of agency and fiduciary duties,"A property owner tells the broker that the house is connected to the sewer. The broker relays this information to the buyer, who later finds that the house has septic system in need of repair. The buyer would sue:",the broker and the owner.,"no one, as they should",the broker.,the owner. have checked.,a,"a — In this instance, the buyer includes the owner in the suit as they are required to disclose a septic system on the Transfer Disclosure Statement (TDS). The broker is also named since they failed in their due diligence to be aware of the septic system."
Laws of agency and fiduciary duties,"A salesperson representing a buyer, in selling properties listed with another broker, is directly responsible to:",the selling broker.,the Multiple Listing Service (MLS).,the listing broker.,the owner.,a,"a — The salesperson is always responsible to their broker. Unique to real estate, “selling broker” refers to the buyer’s broker."
Laws of agency and fiduciary duties,A valid agency requires a(n):,written agreement.,express agreement.,attorney-in-fact.,None of these.,d,d — A valid agency doesn’t require any of these. It can be triggered by the actions of the principal or agent.
Laws of agency and fiduciary duties,A listing broker may not be:,the sole agent of the owner.,the sole agent of the buyer.,a sole agent of the seller.,a dual agent.,b,"b — The listing broker, also known as a seller’s broker, would naturally represent the seller. They could also represent the buyer and therefore be a dual agent. They could never represent solely the buyer."
Laws of agency and fiduciary duties,An agency relationship would not be created by:,a verbal agreement.,ratification.,implication.,subrogation.,d,"d — Subrogation is the substitution of one person for another. Therefore, it would not create an agency relationship whereas all of the others are possible."
Laws of agency and fiduciary duties,A broker may never:,accept a commission from the buyer and the seller.,sell their own property to a customer.,act as an escrow.,None of these.,d,d — All of those are legal actions for a broker.
Laws of agency and fiduciary duties,"A seller’s broker receives a full price offer on their listing. As they were leaving the office to present the offer, a broker of a second buyer hands them a separate cash offer for $10,000 less than the listed price. What should the seller’s broker do?",Present both offers at the same time.,Suggest to the first buyer that they improve their offer before the seller’s broker will present it to the seller.,Tell the other broker the property has already been sold.,Present the first offer and see if the seller accepts that before submitting the other offer.,a,"a — Offers need to be submitted to the seller, whether only one or multiple. Any other choice would fail in the agent’s fiduciary duty."
Laws of agency and fiduciary duties,Failing to provide financing in certain communities is called:,redlining.,redevelopment.,panic selling.,subordination.,a,a — This is an example of redlining. Panic selling is similar to blockbusting.
Laws of agency and fiduciary duties,Which of the following is not a possible agency relationship in California?,Agent for the buyer.,Dual agent.,Agent for the seller.,Agent for themselves.,d,"d — An agent is a person who acts on behalf of another. Thus, an agent cannot be an agent for themselves. Here, they are a principal acting for their own account."
Laws of agency and fiduciary duties,Which will not terminate an agency relationship?,Mutual consent.,Death of the agent or principal.,Estoppel.,Destruction of the property.,c,c — Estoppel is a legal theory under which a person is barred from asserting or denying a fact because of the person’s previous acts or words. This would not terminate an agency relationship. All the other answer selections are valid ways to terminate an agency relationship.
Laws of agency and fiduciary duties,What is not essential to the creation of an agency relationship?,Agreement to pay consideration.,Competency of the principal.,Consent of the principal.,A fiduciary relationship.,a,a — The creation of agency does not require payment of a fee to be valid.
Laws of agency and fiduciary duties,Agency relationships may not be created by:,voluntary offer by the agent.,implied contract.,ratification.,necessity or emergency.,a,a — Agency requires agreement of the parties. A volunteer action by the agent without the corresponding consent of the principal is insufficient.
Laws of agency and fiduciary duties,A real estate agent may represent all principals in a transaction if:,they have obtained the consent of all parties to this dual agency relationship.,they have informed all principals that they are the agent for each principal.,they are collecting a commission from each principal with the knowledge of the other party.,All of the above.,d,"d — In order to properly be a dual agent, the dual agency status needs to be disclosed as soon as possible and all parties must consent."
Laws of agency and fiduciary duties,"The real estate disclosure law which became effective on January 1, 1988 refers to:",agency relationships.,people who arrange credit.,disclosures made by sellers.,the Truth-in-Lending Act (TILA).,a,"a — The agency disclosure law governing agency relationships became effective January 1, 1988."
Laws of agency and fiduciary duties,A buyer’s agent prepared a purchase offer on a home for their buyer. When should the agent give the buyer the Agency Law Disclosure form?,As soon as practicable.,Before showing the buyer the house.,Before preparing the offer for the buyer.,On the opening of escrow.,a,"a — The Agency Law Disclosure is to be made as early as practical, but always before the principal signs any contract."
Laws of agency and fiduciary duties,"A seller’s agent listed a ranch for sale under an exclusive right to sell listing. A buyer’s agent, working through the local multiple listing service (MLS), presented an offer which the seller accepted. During escrow, the seller’s agent discovered the buyer had recently purchased many similar ranches in the area at a far higher cost per acre than had been offered in this transaction. What should the seller’s agent do?",Do nothing because the deal is in escrow.,Disclose all information to the seller and let the seller decide what to do.,Cancel the escrow on behalf of the seller and try to resell the property for a higher price.,"Inform the seller, but insist the deal must stay in escrow.",b,"b — The listing agent’s fiduciary duty requires them to disclose all material facts to their client, including the existence of the other transactions."
Laws of agency and fiduciary duties,Which of the following would be a fiduciary duty of the agent of the buyer?,"Acting with the utmost care, integrity, loyalty and honesty when dealing with the buyer.",Steering the buyer to ‘appropriate’ neighborhoods.,Telling the buyer which lender to use.,Communicating to the seller the maximum price the buyer will be willing to pay.,a,a — Answer choices B and C are wrong since they work against the concept of the client as the decision maker. Answer selection D is clearly wrong as it is improper to reveal confidential pricing information to the opposing party. Only A meets the requirement of fiduciary duties.
Laws of agency and fiduciary duties,A real estate broker acts from a position of trust for the seller or buyer. This is described legally as a(n):,fiduciary relationship.,ostensible agent.,dual agent.,independent contractor relationship.,a,a — The relationship is described as fiduciary. None of the other answer selections describe a relationship of loyalty and trust.
Laws of agency and fiduciary duties,"A seller listed their home for sale with their broker for $400,000. The seller told their broker it was imperative that the property be sold quickly. The seller’s broker showed the property to a buyer and told them the seller was financially insolvent and would accept $380,000. Based on the seller’s broker’s statement, the buyer submits a $380,000 offer which the seller accepts. Concerning the seller’s broker’s actions, which of the following is true:",the seller’s broker violated their fiduciary obligation to the seller since they acted in excess of their authority.,"when the seller accepted the offer, the broker’s actions were vindicated.",the broker’s action were proper since the seller indicated they wanted an immediate sale.,the broker interpreted the seller’s wishes and produced a sale accordingly. Acceptance of the offer made the broker’s actions acceptable.,a,a — This activity is a violation of the fiduciary duty regardless of the later actions or results.
Laws of agency and fiduciary duties,A seller’s broker receives a written offer on a listed property. They are certain the seller will not accept it. What would NOT be an acceptable action for the seller’s broker:,write new terms on the back of the offer and return it to the buyer for approval.,"change the offer price to what the broker thinks the seller will accept, and initial the change.","present the offer to the seller, and upon rejection, induce the seller to make a counter offer.",present the offer to the seller as written.,b,b — Changes and counteroffers must be made by the principals. Any action instigated by the agent would be wrong.
Laws of agency and fiduciary duties,"In a real estate sale, when a broker represents only the buyer, this is referred to as a(n):",single agency.,implied agency.,dual agency.,general agency.,a,a — Either representing only the buyer or the seller would constitute a single agency.
Laws of agency and fiduciary duties,"Before a broker may solicit for an advance fee, the advance fee paperwork must be submitted to the for approval at least 10 days prior to use.",Department of Real Estate (DRE).,Secretary of State.,Department of Housing and Urban Development.,State Insurance Commissioner.,a,a — A broker needs to obtain approval from Department of Real Estate (DRE) prior to soliciting for an advance fee. The other government entities provided in the answer selections have no jurisdiction over the documents.
Laws of agency and fiduciary duties,"When a broker or their agent, acting on behalf of a client, has a competing professional or personal bias which hinders their ability to unreservedly fulfill the fiduciary duty they have undertaken, this is referred to as a(n):",conflict of interest.,sub agency.,dual agency.,violation of law.,a,"a — A personal bias suggests a conflict of interest. The other choices would be inappropriate to the question. Agency, whether dual agency or subagency, would imply a relationship with the client as opposed to some personal or professional conflict."
Laws of agency and fiduciary duties,A real estate broker is guilty of conversion if they:,acted as a dual agent without the approval of all parties.,split their commission with an unlicensed party.,used trust funds for their personal use.,commingled funds.,c,"c — Unlike commingling which is the mixing of client funds, conversion requires the personal use of client monies."
Laws of agency and fiduciary duties,The best guideline to determine whether an action is ethical can be found in:,state legislation.,the Business and Professions Code.,the Preamble of the National Association of REALTORS®.,what is in the best interest of the real estate licensee.,b,"b — The Real Estate Law is found in the Business and Professions Code, which also covers the ethical practice of licensees."
Laws of agency and fiduciary duties,"Any broker negotiating a transaction as an agent for either party has a(n) to disclose title conditions affecting ownership or use of the property to both parties, not just their client.",agency duty,general duty,fiduciary duty,common law duty,b,"b — A fiduciary duty is owed only to a broker’s client. However, the broker also owes a general duty to all parties to disclose any material facts about a property, such as title conditions affecting the property’s use."
Laws of agency and fiduciary duties,"A real estate broker sends all of their title business to Wonderful Title Co. In appreciation of the business, the title company pays the broker $10 for each transaction. According to the Real Estate Settlement Procedures Act (RESPA), this practice is:",standard business practice in the real estate industry.,permissible.,permissible if the seller is going to pay for the title services and is told about it and approves.,forbidden.,d,d — The Real Estate Settlement Procedures Act (RESPA) explicitly protects consumers from kickbacks and uncompetitive or duplicated fees.
Laws of agency and fiduciary duties,"are practices which are not openly discriminatory, but result in discriminatory effects.",Implicit discrimination.,Sanctioned discrimination.,Overt discrimination.,Complicit discrimination.,a,"a — Implicit suggests something that is implied or understood, though not directly expressed, eliminating answer selection B. Sanctioned discrimination and C. Overt discrimination."
Laws of agency and fiduciary duties,Which of the following is an attorney-in-fact?,A principal who has been given implied powers of agency.,An agent performing a dual agency.,A legally competent person who has been given a power of attorney to act on behalf of another.,A lawyer acting as the administrator of an estate.,c,"c — Note that the question contains the word ‘attorney’ yet the correct answer demonstrates any competent person in possession of a power-of-attorney is qualified. Thus, answer choice C is the best answer."
Laws of agency and fiduciary duties,A person who is not among the protected groups under the Americans with Disabilities Act (ADA) and can therefore be refused a rental is a(n):,alcoholic.,pregnant women.,drug addict.,blind individual with a guide dog.,c,c — Only a drug addict is not a protected class under the Americans with Disabilities Act (ADA).
Laws of agency and fiduciary duties,A real estate salesperson’s license has been suspended because money was paid out of the Recovery Account. Their license will not be reinstated:,until they pay the person any amount not paid by the Recovery Account.,"until they pay the Recovery Account for half of the money, plus interest.","ever, as a suspended license may never be reinstated.","until they repay the Recovery Account for all money paid, plus interest.",d,"d — As this is civil action, the answer selection C is inappropriate. Only the full restitution of the funds paid from the Recovery Fund allows for the reinstatement of the salesperson’s license."
Laws of agency and fiduciary duties,"When approached by members of minority groups who want to be shown property, a real estate salesperson avoids showing the buyers property in integrated areas. This would be an example of:",blockbusting.,steering.,redlining.,best business practice.,b,"b — Redlining is the refusal to make loans or issue insurance in a neighborhood. Blockbusting is related to listing efforts. Also known as panic selling, blockbusting occurs when an owner is warned about demographic changes in the neighborhood. Steering refers to the discriminatory practice of restricting the rental or ownership of a property to a specific class of people to perpetuate segregated housing."
Laws of agency and fiduciary duties,Which of these would create an agency relationship:,implication.,ratification.,express agreement.,Any of the above.,d,d — Agency can be created by any of those actions.
Laws of agency and fiduciary duties,"Admiralty Escrow offers a $100 “referral fee” to any real estate agent who opens escrow during the month of May. Under the Real Estate Settlement Procedures Act (RESPA), such an offer:",is always allowed.,is allowed if disclosed to both the buyer and seller.,must be disclosed in the settlement statement.,is not allowed.,d,d — The Real Estate Settlement Procedures Act (RESPA) does not permit referral fees or kickbacks under any circumstance.
Laws of agency and fiduciary duties,"When a broker deposits their own personal or business funds in a client trust fund account, that act is referred to as:",subrogation.,subordination.,conversion.,commingling.,d,"d — The mixing of monies is commingling, as demonstrated here. In order for this to be conversion, the broker would have to be using client funds for personal purposes."
Laws of agency and fiduciary duties,The Real Estate Commissioner is authorized to:,impose fines on any real estate licensee who is convicted of fraudulent activities.,promulgate rules and regulations to enforce the California real estate laws.,issue non-resident real estate licenses to states which prohibit their residents from holding California real estate licenses.,implement federal lending legislation to encourage a healthy housing market.,b,"b — The chief officer of the Department of Real Estate (DRE) is the Real Estate Commissioner. The Real Estate Commissioner’s principal responsibility is to enforce all the real estate laws pertaining to real estate practice, licensing and the Subdivided Lands Act."
Laws of agency and fiduciary duties,"If a real estate broker fires a salesperson for an illegal act, the broker should inform the Real Estate Commissioner of the firing:",immediately by telephone.,if they choose to. It is not the responsibility of the broker to inform the Real Estate Com missioner.,Immediately in writing. It is unconditionally required.,never. It is unethical to interfere between the sales licensee and Real Estate Commissioner.,c,"c — Informing the Department of Real Estate (DRE) of an agent’s illegal activity is an unconditional requirement. Therefore, none of the other choices can be correct."
Laws of agency and fiduciary duties,"Agent Andy is hired by Seller Sally to list her property for sale. Sally is under financial distress and is motivated to sell quickly. Later, Agent Andy enters under contract to help Buyer Bill purchase a suitable property. Agent Andy shows Sally’s property to Bill and lets Bill know Sally is desperate to sell and will accept a bid lower than the list price. Bill promptly decides to purchase the property. Since Bill purchased the property so quickly, Agent Andy didn’t have the opportunity to reveal to either party that he was acting in a dual agency capacity. Which of the following statements is least correct about this scenario?",Agent Andy could be subject to disciplinary action by the Department of Real Estate (DRE).,Seller Sally can recover her money losses from Agent Andy.,Agent Andy cannot enforce the collection of a commission from Seller Sally.,Agent Andy can still timely disclose his dual agency status to both Seller Sally and Buyer Bill so long as he does so in writing within three business days of closing.,d,"d — An agent who fails to promptly disclose their dual agency at the moment it arises is subject to the loss of their brokerage fee, liability for their principals’ money losses and disciplinary action by the Department of Real Estate (DRE)."
Laws of agency and fiduciary duties,"In regards to items of value held in trust, which of the following statements is least likely to be true?",Trust funds can be kept in separate interest bearing accounts.,Trust funds for taxes and insurance may bear interest.,Trust fund accounts must be insured by the FDIC.,Trust funds cannot take the form of precious gems or stones.,d,"d — Trust funds come in many forms, including checks, precious metals/stones, stocks/bonds, collectibles, promissory notes, and any other item or evidence of value."
Laws of agency and fiduciary duties,Who may withdraw money from a trust fund?,Any person employed by the broker.,Only salespeople in the broker’s employ.,A corporate director.,Any authorized employee of the broker.,d,d — The broker is required to name the employee who is authorized to withdraw trust funds. The authorized party need not be licensed.
Laws of agency and fiduciary duties,"If an agent discloses to their principal the race, creed, or color of a prospective buyer or tenant, has the agent committed a discriminatory act?","No, since an agent is obligated to disclose to their principal all material facts that might influence the principal’s decisions concerning any real estate transaction.","No, since a fiduciary relationship exists between the agent and the principal and the agent must exercise good faith in working for the principal’s best interest.","Yes, since the race, creed or color of the prospect does not matter.","Yes, however, that disclosure violates only a state law and there is no penalty.",c,"c — This is a Civil Rights Act question. The answer may seem obvious if one thinks ‘color blind’ – the race, creed or color of the prospect does not matter."
Laws of agency and fiduciary duties,"In 1968, the U.S. Supreme Court barred all racial discrimination in the sale or rental of property. A person discriminated against should:",contact the local police.,file a criminal action in local and state courts.,plead the fifth.,file a civil action in federal court.,d,d — The U.S. Supreme Court has a federal jurisdiction. The action would thus be heard in a federal court.
